,country_name,city_name,measure,aqi_level,lat,lon
154,Cyprus,Aradippou,min_aqi,45,34.9496176,33.5926752
155,Montenegro,Ulcinj,min_aqi,52,41.926012,19.2055563
156,Comoros,Fomboni,min_aqi,26,-12.284054,43.742727
157,Iceland,Reykjavik,min_aqi,23,64.145981,-21.9422367
158,Andorra,Andorra La Vella,min_aqi,27,42.5069391,1.5212467
159,Oman,Salalah,min_aqi,87,17.0174945,54.1010923
160,Equatorial Guinea,Malabo,min_aqi,32,3.741877,8.7740663
161,Luxembourg,Dudelange,min_aqi,26,49.4786477,6.0847792
162,Vanuatu,Vila,min_aqi,30,41.2976935,-7.7457614
163,Aruba,Oranjestad,min_aqi,163,12.5201024,-70.0371329
164,Belize,Dangriga,min_aqi,22,16.9666599,-88.2247368
165,Qatar,Khor,min_aqi,151,20.1727724,85.6138614
166,Palau,Koror,min_aqi,16,7.343275,134.4766767
167,Suriname,Paramaribo,min_aqi,21,5.8247628,-55.1703941
168,Singapore,Singapore,min_aqi,91,1.357107,103.8194992
169,Maldives,Male,min_aqi,19,4.1779879,73.5107387
170,Bahrain,Manama,min_aqi,188,26.2235041,50.5822436
171,Seychelles,Victoria,min_aqi,26,-36.5986096,144.6780052
172,Palestine,Jerusalem,min_aqi,86,31.7788242,35.2257626
173,Saint Kitts and Nevis,Basseterre,min_aqi,90,17.2960919,-62.722301
174,Monaco,Beausoleil,min_aqi,56,43.748281,7.4219677
175,Russia,Tynda,max_aqi,500,55.149694,124.7375884
176,Brazil,Duque De Caxias,max_aqi,268,-22.7896225,-43.309929
177,Italy,Pianezza,max_aqi,152,45.105847,7.543418
178,Poland,Wodzislaw Slaski,max_aqi,115,50.00230565,18.44810906198549
179,France,Pertuis,max_aqi,151,43.6951468,5.5032671
180,United States of America,Durango,max_aqi,500,24.833333,-104.833333
181,Germany,Lindenberg,max_aqi,110,47.6015605,9.8863905
182,Belgium,La Louviere,max_aqi,73,50.4793576,4.18563
183,Egypt,Esna,max_aqi,166,47.3390994,6.3241941
184,China,Chengdu,max_aqi,386,30.7001324,104.0708278
185,Netherlands,Willemstad,max_aqi,121,12.1066695,-68.9351307
186,India,Rania,max_aqi,500,22.7374066,85.09285231583098
187,Pakistan,Bahawalnagar,max_aqi,500,29.9935922,73.2527621
188,Republic of North Macedonia,Prilep,max_aqi,123,41.3444984,21.5527115
189,Colombia,Riohacha,max_aqi,160,11.5352153,-72.9119566
190,Romania,Pecica,max_aqi,74,46.1666788,21.0666809
191,Indonesia,Serpong,max_aqi,297,-6.3131287,106.68073925095902
192,Finland,Kirkkonummi,max_aqi,185,60.1227857,24.4406694
193,South Africa,Boksburg,max_aqi,500,-26.2124639,28.2617471
194,United Kingdom,Falmouth,max_aqi,78,50.1552197,-5.0688262
195,Tanzania,Karema,max_aqi,195,36.2993931,5.5026541
